x_red,y_red,x_blue,y_blue,overlap
24,31,36,28,FALSE
25,30,32,27,FALSE
25,32,38,29,FALSE
23,26,31,27,FALSE
24,27,26,28,TRUE
25,26,18,29,FALSE
26,21,13,28,FALSE
32,19,10,21,FALSE
38,15,15,16,FALSE
42,10,22,14,FALSE
45,4,28,11,FALSE
53,1,35,9,FALSE
42,49,32,44,FALSE
42,48,32,49,FALSE
46,44,38,52,FALSE
54,46,43,47,FALSE
61,45,49,45,FALSE
21,29,18,26,TRUE
22,22,15,22,FALSE
27,18,15,24,FALSE
33,14,10,27,FALSE
40,12,16,29,FALSE
46,11,21,25,FALSE
54,12,29,23,FALSE
62,16,33,19,FALSE
44,38,27,38,FALSE
50,35,32,42,FALSE
57,32,38,39,FALSE
37,24,36,25,TRUE
44,19,26,22,FALSE
48,14,26,18,FALSE
53,8,30,15,FALSE
64,1,37,12,FALSE
23,32,28,31,TRUE
20,22,34,28,FALSE
22,16,29,23,TRUE
24,9,25,19,FALSE
25,3,20,14,FALSE
28,1,15,8,FALSE
27,39,20,33,TRUE
31,38,19,41,FALSE
37,43,26,43,FALSE
37,48,33,40,FALSE
40,54,38,40,FALSE
22,31,15,28,TRUE
25,27,11,33,FALSE
29,27,6,29,FALSE
26,21,9,24,FALSE
27,14,16,24,FALSE
28,6,23,25,FALSE
30,2,28,21,FALSE
28,14,29,41,FALSE
27,7,22,38,FALSE
30,2,23,31,FALSE
20,29,20,12,FALSE
18,21,27,13,FALSE
17,13,27,20,FALSE
18,7,19,18,FALSE
16,3,19,12,FALSE
12,3,14,6,TRUE
1,1,8,6,FALSE
45,35,22,37,FALSE
52,33,28,41,FALSE
57,31,34,40,FALSE
39,41,31,38,FALSE
40,37,27,43,FALSE
46,34,23,38,FALSE
53,37,28,33,FALSE
58,43,35,32,FALSE
36,42,35,40,TRUE
36,38,38,42,TRUE
43,36,42,46,FALSE
49,33,36,48,FALSE
52,26,31,43,FALSE
53,19,35,38,FALSE
56,13,37,31,FALSE
64,1,43,27,FALSE
64,1,45,21,FALSE
31,21,33,19,TRUE
33,26,30,15,FALSE
34,25,33,16,FALSE
38,21,26,15,FALSE
44,17,26,21,FALSE
49,13,33,23,FALSE
56,9,39,22,FALSE
64,1,45,18,FALSE
25,36,27,36,TRUE
31,31,30,42,FALSE
36,29,30,44,FALSE
39,22,20,37,FALSE
42,15,23,33,FALSE
45,9,30,30,FALSE
50,5,34,24,FALSE
64,0,35,18,FALSE
28,16,35,21,TRUE
28,8,27,25,FALSE
28,2,23,21,FALSE
29,0,23,15,FALSE
42,28,31,35,FALSE
48,29,38,39,FALSE
55,30,44,36,FALSE
44,32,33,36,FALSE
49,30,36,36,FALSE
57,31,45,32,FALSE
32,19,37,23,TRUE
35,11,29,25,FALSE
34,5,27,20,FALSE
38,2,30,14,FALSE
36,19,37,30,FALSE
43,17,37,34,FALSE
47,11,43,32,FALSE
52,6,47,26,FALSE
64,0,49,20,FALSE
64,0,48,12,FALSE
19,10,19,33,FALSE
16,3,15,27,FALSE
13,0,16,21,FALSE
12,0,16,14,FALSE
28,15,37,31,FALSE
28,7,28,30,FALSE
26,1,24,25,FALSE
27,0,24,18,FALSE
27,34,32,23,FALSE
28,27,22,22,TRUE
37,27,16,22,FALSE
43,24,14,15,FALSE
50,22,21,14,FALSE
56,20,27,18,FALSE
44,35,23,37,FALSE
51,33,29,40,FALSE
56,29,36,36,FALSE
41,29,19,33,FALSE
48,29,23,35,FALSE
55,29,31,34,FALSE
44,33,36,35,FALSE
51,31,42,36,FALSE
58,31,48,35,FALSE
22,29,17,31,TRUE
22,21,19,26,FALSE
26,21,23,24,TRUE
30,21,29,22,TRUE
24,10,31,17,TRUE
24,12,29,12,TRUE
24,14,22,6,TRUE
19,11,26,6,FALSE
21,14,31,9,FALSE
15,6,24,6,TRUE
16,10,27,6,FALSE
18,11,26,7,FALSE
13,5,18,7,TRUE
12,9,13,3,TRUE
9,0,10,2,FALSE
10,1,10,0,FALSE
41,30,26,40,FALSE
49,28,27,45,FALSE
55,25,35,45,FALSE
34,42,24,26,FALSE
36,36,24,19,FALSE
38,29,31,20,TRUE
46,26,33,27,FALSE
54,25,37,33,FALSE
28,20,43,28,FALSE
33,41,26,39,TRUE
36,35,35,41,TRUE
43,39,40,41,TRUE
41,35,44,45,FALSE
49,37,40,52,FALSE
55,35,33,52,FALSE
37,23,32,23,TRUE
44,23,25,26,FALSE
52,22,31,32,FALSE
59,20,39,31,FALSE
2,21,18,23,FALSE
52,29,40,31,FALSE
58,26,46,36,FALSE
18,30,18,25,TRUE
17,21,22,24,TRUE
21,17,21,17,TRUE
22,10,15,9,TRUE
21,5,14,7,FALSE
18,12,23,1,FALSE
24,31,32,24,FALSE
29,29,33,25,TRUE
37,29,37,29,TRUE
43,26,30,26,FALSE
48,20,30,33,FALSE
50,14,36,35,FALSE
54,9,40,30,FALSE
64,0,45,25,FALSE
20,22,15,23,TRUE
15,15,11,18,TRUE
23,15,17,16,TRUE
18,10,22,14,TRUE
13,4,20,8,TRUE
13,9,13,9,TRUE
12,6,6,9,TRUE
8,2,3,12,FALSE
10,0,13,1,FALSE
23,13,33,24,FALSE
22,6,24,20,FALSE
24,2,20,15,FALSE
29,41,32,39,FALSE
26,34,34,40,TRUE
30,37,37,43,FALSE
27,30,28,38,TRUE
35,30,22,38,FALSE
42,29,20,33,FALSE
49,28,25,28,FALSE
55,29,30,27,FALSE
23,13,36,25,TRUE
22,5,24,20,FALSE
23,1,19,15,FALSE
29,14,32,23,TRUE
31,6,26,17,FALSE
29,2,27,11,FALSE
30,1,26,3,FALSE
38,22,33,24,FALSE
46,22,29,28,FALSE
52,22,34,33,FALSE
58,26,41,31,FALSE
61,33,47,29,FALSE
44,31,25,37,FALSE
51,33,32,37,FALSE
57,31,38,37,FALSE
12,10,17,18,TRUE
12,3,13,12,TRUE
16,1,8,9,TRUE
29,15,36,29,FALSE
29,8,29,25,FALSE
34,3,28,19,FALSE
37,1,29,11,FALSE
44,36,32,35,FALSE
51,33,39,35,FALSE
58,32,41,27,FALSE
21,29,14,20,TRUE
21,21,11,26,FALSE
28,19,10,31,FALSE
33,16,17,32,FALSE
42,14,24,29,FALSE
45,14,28,24,FALSE
54,19,33,19,FALSE
60,21,39,18,FALSE
34,18,34,25,FALSE
38,12,34,31,FALSE
42,4,41,30,FALSE
49,3,42,22,FALSE
42,1,45,15,FALSE
43,38,32,39,FALSE
50,44,37,41,FALSE
53,50,44,44,TRUE
55,55,49,46,FALSE
39,23,14,24,FALSE
46,23,17,30,FALSE
53,24,22,30,FALSE
59,27,29,31,FALSE
29,38,37,29,FALSE
32,34,36,31,TRUE
37,29,41,31,TRUE
44,25,36,29,FALSE
50,22,42,32,FALSE
55,19,47,26,FALSE
62,14,47,19,FALSE
43,30,29,37,FALSE
51,30,37,39,FALSE
56,29,40,35,FALSE
24,14,34,25,FALSE
24,7,23,22,FALSE
26,2,19,17,FALSE
20,29,14,28,FALSE
20,22,16,23,TRUE
23,22,11,16,FALSE
18,15,5,16,FALSE
20,8,2,20,FALSE
21,2,4,23,FALSE
27,1,12,21,FALSE
43,42,30,36,FALSE
50,41,38,38,FALSE
56,43,42,41,FALSE
62,48,47,47,FALSE
9,12,19,15,TRUE
4,7,12,16,TRUE
4,6,7,15,TRUE
1,5,4,10,FALSE
40,27,31,36,FALSE
48,24,39,36,FALSE
52,19,44,32,FALSE
58,15,42,26,FALSE
18,11,18,26,FALSE
23,7,16,19,FALSE
27,2,17,13,FALSE
32,1,16,6,FALSE
30,15,27,23,TRUE
27,10,21,24,FALSE
31,4,28,28,FALSE
38,1,31,22,FALSE
35,18,30,23,FALSE
36,11,23,17,FALSE
37,4,25,11,FALSE
41,1,29,5,FALSE
18,25,15,26,TRUE
12,18,10,28,FALSE
11,12,8,22,FALSE
6,6,14,21,FALSE
8,3,20,15,FALSE
12,10,20,28,FALSE
13,5,21,21,FALSE
15,1,18,15,FALSE
41,25,32,35,FALSE
46,20,37,35,FALSE
52,17,44,32,FALSE
56,12,47,24,FALSE
25,13,16,25,FALSE
29,7,12,22,FALSE
33,2,13,16,FALSE
39,1,17,10,FALSE
29,38,37,38,TRUE
32,31,33,42,FALSE
38,28,27,35,FALSE
46,27,27,29,FALSE
51,24,31,24,FALSE
58,21,39,26,FALSE
43,33,24,37,FALSE
51,31,29,42,FALSE
59,30,37,41,FALSE
25,32,24,37,FALSE
29,28,16,39,FALSE
35,26,16,33,TRUE
22,31,22,31,FALSE
49,23,29,28,FALSE
55,20,36,26,FALSE
59,14,40,22,FALSE
37,22,38,35,FALSE
45,23,29,34,FALSE
52,22,26,27,FALSE
59,20,33,27,FALSE
42,32,29,30,FALSE
49,30,36,33,FALSE
54,26,42,31,FALSE
59,19,47,26,FALSE
62,15,54,25,FALSE
34,19,19,32,FALSE
36,12,15,28,FALSE
38,5,15,23,FALSE
41,1,24,23,FALSE
12,11,20,22,FALSE
10,5,15,18,FALSE
